ERR unknown command (type 'help')
OK mode=LOG
ERR unknown command (type 'help')
M,1273618,W,41,START
OK start
S,1297979,-23,24,270
S,1297989,-52,-13,277
S,1297999,-86,-25,275
S,1298009,-114,-48,291
S,1298019,-125,-57,307
S,1298029,-122,-68,324
S,1298039,-103,-58,355
S,1298049,-81,-86,394
S,1298059,-66,-82,438
S,1298069,-58,-48,441
S,1298079,-74,-19,432
S,1298089,-115,-32,440
S,1298099,-141,-31,439
S,1298109,-144,-29,441
S,1298119,-142,-35,449
S,1298129,-147,-41,452
S,1298139,-151,-52,456
S,1298149,-143,-65,470
S,1298159,-133,-72,477
S,1298169,-115,-55,474
S,1298179,-102,-10,460
S,1298189,-117,23,433
S,1298199,-134,31,410
S,1298209,-135,30,406
S,1298219,-128,26,393
S,1298229,-114,16,393
S,1298239,-116,9,409
S,1298249,-109,-35,393
S,1298259,-114,-47,384
S,1298269,-105,-45,379
S,1298279,-77,-8,372
S,1298289,-57,12,375
S,1298299,-75,15,318
S,1298309,-114,-11,261
S,1298319,-127,-26,230
S,1298329,-108,-70,210
S,1298339,-124,-69,229
S,1298349,-125,-130,249
S,1298359,-106,-44,207
S,1298369,-72,-57,203
S,1298379,-62,-12,144
S,1298389,-92,-64,128
S,1298399,-87,-42,112
S,1298409,-63,-57,124
S,1298419,-44,-46,161
S,1298429,-14,-89,220
S,1298439,-11,-81,218
S,1298449,-11,-65,200
S,1298463,-6,-86,201
S,1298469,30,-97,206
S,1298479,49,-119,238
S,1298489,39,-121,233
S,1298499,34,-107,229
S,1298509,30,-79,215
S,1298519,9,-69,213
S,1298529,-8,-66,201
S,1298539,-23,-76,198
S,1298549,-38,-89,198
S,1298559,-49,-94,193
S,1298569,-48,-94,194
S,1298579,-32,-81,211
S,1298589,-16,-60,216
S,1298599,-13,-53,223
S,1298609,-18,-44,222
S,1298619,-24,-42,227
S,1298629,-36,-46,234
S,1298639,-46,-46,235
S,1298649,-51,-37,222
S,1298659,-58,-35,221
S,1298669,-64,-36,212
S,1298679,-67,-42,210
M,1298679,W,45,END
OK end
M,1301168,W,46,START
OK start
S,1301169,-87,60,241
S,1301179,-85,42,247
S,1301189,-78,45,243
S,1301199,-70,54,243
S,1301209,-65,55,249
S,1301219,-61,55,252
S,1301229,-53,64,250
S,1301239,-54,76,238
S,1301249,-61,72,235
S,1301259,-70,65,229
S,1301269,-75,51,221
S,1301279,-67,40,211
S,1301289,-57,50,203
S,1301299,-46,65,219
S,1301309,-20,69,198
S,1301319,-16,66,208
S,1301329,-9,72,189
S,1301339,-7,57,181
S,1301349,-1,45,174
S,1301359,4,22,169
S,1301369,13,2,179
S,1301379,23,3,188
S,1301389,32,0,192
S,1301399,42,15,182
S,1301409,58,31,175
S,1301419,56,48,169
S,1301429,47,65,141
S,1301439,32,66,137
S,1301449,15,57,160
S,1301459,-3,41,181
S,1301469,-16,16,187
S,1301479,-16,2,201
S,1301489,-11,-5,206
S,1301499,-10,-24,219
S,1301509,-4,-26,223
S,1301519,12,-27,223
S,1301529,20,-31,228
S,1301539,1,-35,234
S,1301549,-24,6,243
S,1301559,-57,46,241
S,1301569,-93,14,273
S,1301579,-130,-13,305
S,1301589,-140,-34,321
S,1301599,-115,-32,344
S,1301609,-73,-33,370
S,1301619,-50,-29,381
S,1301629,-54,5,387
S,1301639,-120,44,390
S,1301649,-207,33,398
S,1301659,-237,24,437
S,1301669,-218,31,486
S,1301679,-189,21,538
S,1301689,-150,27,584
S,1301699,-113,37,606
S,1301709,-97,48,608
S,1301719,-103,64,581
S,1301729,-114,70,546
S,1301739,-125,58,515
S,1301749,-127,44,492
S,1301759,-107,47,467
S,1301769,-86,79,451
S,1301779,-61,114,443
S,1301789,-63,128,430
S,1301799,-73,118,410
S,1301809,-78,97,399
S,1301819,-69,79,373
S,1301829,-60,39,349
S,1301839,-59,10,328
S,1301849,-63,-4,305
S,1301859,-69,-7,285
S,1301869,-56,15,264
S,1301879,-42,21,241
S,1301889,-45,11,212
S,1301899,-38,-17,195
S,1301909,-5,-59,197
S,1301919,37,-88,203
S,1301929,42,-104,188
S,1301939,22,-113,163
S,1301949,1,-106,144
S,1301959,-14,-100,118
S,1301969,-34,-87,90
S,1301979,-34,-77,69
S,1301989,-13,-88,85
S,1301999,14,-70,97
S,1302009,19,-65,100
S,1302019,14,-66,103
S,1302029,21,-60,105
S,1302039,38,-64,119
S,1302049,42,-61,109
S,1302059,38,-56,88
S,1302069,52,-55,87
S,1302079,71,-58,108
S,1302089,78,-62,117
S,1302099,71,-62,117
S,1302109,59,-63,125
S,1302119,65,-52,114
S,1302129,57,-56,161
S,1302139,46,-50,164
S,1302149,56,-28,159
S,1302159,85,1,169
S,1302169,99,5,169
S,1302179,93,4,189
S,1302189,65,-9,165
S,1302199,31,-21,178
S,1302209,-4,-49,196
S,1302219,-48,-65,205
S,1302229,-72,-55,202
S,1302239,-73,-49,188
S,1302249,-74,-64,220
S,1302259,-65,-18,231
S,1302269,-64,-19,249
S,1302279,-64,-31,285
S,1302289,-63,-7,310
S,1302299,-96,3,326
S,1302309,-109,19,339
S,1302319,-143,28,354
S,1302329,-179,-8,402
